Time,Frame,Error,Motor_L,Motor_R,Odom_L,Odom_R
0.0320,1,-0.0016,3.00,3.00,72.518,68.217
0.0640,2,-0.0016,3.00,3.00,72.520,68.219
0.0960,3,-0.0031,2.99,3.01,72.522,68.221
0.1280,4,-0.0047,2.99,3.01,72.523,68.223
0.1600,5,-0.0047,2.99,3.01,72.525,68.225
0.1920,6,-0.0047,2.99,3.01,72.527,68.227
0.2240,7,-0.0047,2.99,3.01,72.529,68.229
0.2560,8,-0.0063,2.98,3.02,72.531,68.231
0.2880,9,-0.0047,2.99,3.01,72.533,68.233
0.3200,10,-0.0016,3.00,3.00,72.535,68.235
0.3520,11,-0.0016,3.00,3.00,72.537,68.236
0.3840,12,0.0000,3.00,3.00,72.539,68.238
0.4160,13,0.0016,3.00,3.00,72.541,68.240
0.4480,14,0.0016,3.00,3.00,72.543,68.242
0.4800,15,0.0016,3.00,3.00,72.545,68.244
0.5120,16,0.0016,3.00,3.00,72.546,68.246
0.5440,17,0.0016,3.00,3.00,72.548,68.248
0.5760,18,0.0016,3.00,3.00,72.550,68.250
0.6080,19,0.0016,3.00,3.00,72.552,68.252
0.6400,20,0.0016,3.00,3.00,72.554,68.254
0.6720,21,0.0016,3.00,3.00,72.556,68.256
0.7040,22,0.0031,3.01,2.99,72.558,68.258
0.7360,23,0.0031,3.01,2.99,72.560,68.259
0.7680,24,0.0016,3.00,3.00,72.562,68.261
0.8000,25,0.0000,3.00,3.00,72.564,68.263
0.8320,26,0.0000,3.00,3.00,72.566,68.265
0.8640,27,0.0000,3.00,3.00,72.568,68.267
0.8960,28,0.0000,3.00,3.00,72.569,68.269
0.9280,29,-0.0016,3.00,3.00,72.571,68.271
0.9600,30,-0.0016,3.00,3.00,72.573,68.273
0.9920,31,-0.0016,3.00,3.00,72.575,68.275
1.0240,32,-0.0016,3.00,3.00,72.577,68.277
1.0560,33,-0.0031,2.99,3.01,72.579,68.279
1.0880,34,-0.0016,3.00,3.00,72.581,68.281
1.1200,35,-0.0016,3.00,3.00,72.583,68.282
1.1520,36,-0.0031,2.99,3.01,72.585,68.284
1.1840,37,-0.0031,2.99,3.01,72.587,68.286
1.2160,38,-0.0031,2.99,3.01,72.589,68.288
1.2480,39,-0.0031,2.99,3.01,72.591,68.290
1.2800,40,-0.0031,2.99,3.01,72.592,68.292
1.3120,41,-0.0031,2.99,3.01,72.594,68.294
1.3440,42,-0.0031,2.99,3.01,72.596,68.296
1.3760,43,-0.0047,2.99,3.01,72.598,68.298
1.4080,44,-0.0047,2.99,3.01,72.600,68.300
1.4400,45,-0.0063,2.98,3.02,72.602,68.302
1.4720,46,-0.0047,2.99,3.01,72.604,68.304
1.5040,47,-0.0047,2.99,3.01,72.606,68.306
1.5360,48,-0.0047,2.99,3.01,72.608,68.308
1.5680,49,-0.0047,2.99,3.01,72.610,68.309
1.6000,50,-0.0031,2.99,3.01,72.612,68.311
1.6320,51,-0.0031,2.99,3.01,72.614,68.313
1.6640,52,-0.0016,3.00,3.00,72.615,68.315
1.6960,53,-0.0016,3.00,3.00,72.617,68.317
1.7280,54,-0.0016,3.00,3.00,72.619,68.319
1.7600,55,-0.0016,3.00,3.00,72.621,68.321
1.7920,56,0.0000,3.00,3.00,72.623,68.323
1.8240,57,0.0000,3.00,3.00,72.625,68.325
1.8560,58,0.0000,3.00,3.00,72.627,68.327
1.8880,59,0.0016,3.00,3.00,72.629,68.329
1.9200,60,0.0016,3.00,3.00,72.631,68.331
1.9520,61,0.0000,3.00,3.00,72.633,68.332
1.9840,62,0.0016,3.00,3.00,72.635,68.334
2.0160,63,0.0031,3.01,2.99,72.636,68.336
2.0480,64,0.0031,3.01,2.99,72.638,68.338
2.0800,65,0.0031,3.01,2.99,72.640,68.340
2.1120,66,0.0047,3.01,2.99,72.642,68.342
2.1440,67,0.0063,3.02,2.98,72.644,68.344
2.1760,68,0.0047,3.01,2.99,72.646,68.346
2.2080,69,0.0016,3.00,3.00,72.648,68.348
2.2400,70,0.0016,3.00,3.00,72.650,68.350
2.2720,71,0.0016,3.00,3.00,72.652,68.352
2.3040,72,0.0031,3.01,2.99,72.654,68.354
2.3360,73,0.0031,3.01,2.99,72.656,68.355
2.3680,74,0.0031,3.01,2.99,72.658,68.357
2.4000,75,0.0031,3.01,2.99,72.660,68.359
2.4320,76,0.0047,3.01,2.99,72.661,68.361
2.4640,77,0.0047,3.01,2.99,72.663,68.363
2.4960,78,0.0078,3.02,2.98,72.665,68.365
2.5280,79,0.0078,3.02,2.98,72.667,68.367
2.5600,80,0.0094,3.02,2.98,72.669,68.369
2.5920,81,0.0078,3.02,2.98,72.671,68.371
2.6240,82,0.0094,3.02,2.98,72.673,68.373
2.6560,83,0.0094,3.02,2.98,72.675,68.375
2.6880,84,0.0094,3.02,2.98,72.677,68.376
2.7200,85,0.0094,3.02,2.98,72.679,68.378
2.7520,86,0.0094,3.02,2.98,72.681,68.380
2.7840,87,0.0078,3.02,2.98,72.683,68.382
2.8160,88,0.0094,3.02,2.98,72.685,68.384
2.8480,89,0.0094,3.02,2.98,72.687,68.386
2.8800,90,0.0078,3.02,2.98,72.689,68.388
2.9120,91,0.0078,3.02,2.98,72.690,68.390
2.9440,92,0.0094,3.02,2.98,72.692,68.392
2.9760,93,0.0078,3.02,2.98,72.694,68.394
